UUID	RULEORDER	NAME	ENABLE	USERRULE	ACTION	CONTINUE	PATTERN	NEGATE	REPLACEMENT
b84a53ed-2c95-413b-b3b5-dd17f51f773c	1		true	false	CHECK	false	^%p	false	
76f6df37-b9cd-4d57-94a5-0003fb1265be	2		true	false	CHECK	false	^(%d|%r)%p	false	
b89516ee-89a5-420b-9125-904071c19a06	3		true	false	CHECK	false	^0120	false	
12dad718-6677-4820-ba08-bc3cec2e058d	4		true	false	CHECK	false	^020	false	
439901bb-e0b0-485b-8301-337dbe0eaa9f	5		true	false	CHECK	false	^0570	false	
8f655288-242b-4eca-a754-85c28bb312af	6		true	false	CHECK	false	^060	false	
aee7949e-8d8a-463e-9ba6-683166ac9c4d	7		true	false	CHECK	false	^0800	false	
258db725-7561-424a-92f4-464a4bfeb9e7	8		true	false	CHECK	false	^00	false	
226a414b-c30f-46f5-931f-0e5c78df1626	9		true	false	REWRITE	true	^(%d|%r)	false	$1%p
60c30061-630f-4790-8ecc-45df21c16f9d	10		true	false	REWRITE	true	^(0.+)	false	%p$1
